TF,Sources
Hdac4,RegNetwork|TRRUST
Hdac5,RegNetwork
Hdac7,RegNetwork
Hdac8,RegNetwork
Hdac9,RegNetwork
Hdgf,RegNetwork|TRRUST
Hdgfrp2,RegNetwork
Helz,RegNetwork
Hes1,RegNetwork|TRRUST
Hes6,RegNetwork|TRRUST
Hes7,TRRUST
Hesx1,RegNetwork|TRRUST
Hexim1,RegNetwork|TRRUST
Hey1,RegNetwork|TRRUST
Hey2,RegNetwork|TRRUST
Heyl,RegNetwork|TRRUST
Hgf,TRRUST
Hhex,RegNetwork|TRRUST
Hic1,RegNetwork|TRRUST
Hif1a,RegNetwork|TRRUST
Hif1an,RegNetwork
Hif3a,RegNetwork
Hira,RegNetwork
Hist1h1b,RegNetwork
Hist1h1c,RegNetwork
Hist1h1d,RegNetwork
Hist1h1e,RegNetwork
Hist1h1t,RegNetwork
Hist1h2bb,RegNetwork
Hist1h2bh,RegNetwork
Hist1h2bp,RegNetwork
Hist3h2ba,RegNetwork
Hivep2,RegNetwork|TRRUST
Hlf,RegNetwork|TRRUST
Hltf,RegNetwork|TRRUST
Hlx,TRRUST
Hmg20a,RegNetwork
Hmg20b,RegNetwork
Hmga1,RegNetwork|TRRUST
Hmga2,RegNetwork|TRRUST
Hmgb2,RegNetwork|TRRUST
Hmgb4,RegNetwork
Hmgn3,TRRUST
Hmgxb3,RegNetwork
Hmgxb4,RegNetwork
Hmx3,RegNetwork
Hnf1a,RegNetwork|TRRUST
Hnf1b,RegNetwork|TRRUST
Hnf4a,RegNetwork|TRRUST
Hnf4g,RegNetwork
Hnrnpab,RegNetwork
Hnrnpd,RegNetwork|TRRUST
Hnrnpk,RegNetwork|TRRUST
Hnrnpul1,RegNetwork
Hopx,RegNetwork
Hoxa1,RegNetwork|TRRUST
Hoxa10,RegNetwork|TRRUST
Hoxa11,RegNetwork|TRRUST
Hoxa13,RegNetwork
Hoxa2,RegNetwork|TRRUST
Hoxa3,RegNetwork|TRRUST
Hoxa4,RegNetwork|TRRUST
Hoxa5,RegNetwork|TRRUST
Hoxa6,RegNetwork
Hoxa7,RegNetwork
Hoxa9,RegNetwork|TRRUST
Hoxb1,RegNetwork|TRRUST
Hoxb13,RegNetwork
Hoxb2,RegNetwork|TRRUST
Hoxb3,RegNetwork|TRRUST
Hoxb4,RegNetwork|TRRUST
Hoxb5,RegNetwork|TRRUST
Hoxb6,RegNetwork
Hoxb7,RegNetwork
Hoxb8,RegNetwork|TRRUST
Hoxb9,RegNetwork
Hoxc12,RegNetwork
Hoxc13,RegNetwork|TRRUST
Hoxc4,RegNetwork
Hoxc5,RegNetwork
Hoxc6,RegNetwork|TRRUST
Hoxc8,RegNetwork|TRRUST
Hoxd1,RegNetwork
Hoxd10,RegNetwork
Hoxd12,RegNetwork
Hoxd13,RegNetwork|TRRUST
Hoxd3,RegNetwork
Hoxd4,RegNetwork
Hoxd9,RegNetwork
Hr,RegNetwork|TRRUST
Hsbp1,RegNetwork
Hsf1,RegNetwork|TRRUST
Hsf2,RegNetwork
Hsf2bp,RegNetwork
Hsf4,RegNetwork|TRRUST
Hsfy2,RegNetwork
Hspb1,TRRUST
Htatip2,RegNetwork|TRRUST
Htt,RegNetwork
Id1,RegNetwork|TRRUST|ESCAPE
Id2,RegNetwork|TRRUST
Id3,RegNetwork|TRRUST
Id4,RegNetwork|TRRUST
Ifi204,TRRUST
Ifih1,TRRUST
Ifng,RegNetwork
Ighmbp2,RegNetwork
Ikbkb,RegNetwork|TRRUST
Ikbkg,RegNetwork
Ikzf1,RegNetwork|TRRUST
Ikzf2,RegNetwork|TRRUST
Ikzf3,RegNetwork|TRRUST
Il10,TRRUST
Il17a,TRRUST
Il4,TRRUST
Ilf2,RegNetwork|TRRUST
Ilf3,RegNetwork|TRRUST
Ilk,TRRUST
Ing1,RegNetwork|TRRUST
Ing2,RegNetwork
Ing3,RegNetwork
Ing4,RegNetwork|TRRUST
Insm1,RegNetwork|TRRUST
Ints12,RegNetwork
Irf1,RegNetwork|TRRUST
Irf2,RegNetwork|TRRUST
Irf3,RegNetwork|TRRUST
Irf4,RegNetwork|TRRUST
Irf5,RegNetwork|TRRUST
Irf6,RegNetwork|TRRUST
Irf7,RegNetwork|TRRUST
Irf8,RegNetwork|TRRUST
Irf9,RegNetwork|TRRUST
Irx3,RegNetwork|TRRUST
Irx5,RegNetwork|TRRUST
Irx6,RegNetwork
Isl1,RegNetwork|TRRUST
Isl2,RegNetwork
Ivns1abp,RegNetwork
Jarid1a,ESCAPE
Jarid2,RegNetwork|TRRUST|ESCAPE
Jazf1,TRRUST
Jdp2,RegNetwork|TRRUST
Jmjd1c,RegNetwork|TRRUST
Jun,RegNetwork|TRRUST
Junb,RegNetwork|TRRUST
Jund,RegNetwork|TRRUST
Jup,RegNetwork
Kank2,RegNetwork
Kat2b,RegNetwork|TRRUST
Kat5,RegNetwork|TRRUST
Kcnip3,RegNetwork|TRRUST
Kdm2b,RegNetwork
Kdm4a,RegNetwork
Kdm4b,RegNetwork
Kdm4c,RegNetwork
Kdm5a,RegNetwork
Kdm5b,RegNetwork
Kdm5c,RegNetwork
Kdm5d,RegNetwork
Kdm6b,TRRUST
Keap1,TRRUST
Khdrbs1,RegNetwork|TRRUST
Klf1,RegNetwork|TRRUST
Klf10,RegNetwork|TRRUST
Klf11,RegNetwork|TRRUST
Klf12,TRRUST
Klf13,RegNetwork|TRRUST
Klf15,TRRUST
Klf16,TRRUST
Klf2,RegNetwork|TRRUST|ESCAPE
Klf3,RegNetwork|TRRUST
Klf4,RegNetwork|TRRUST|ESCAPE
Klf5,RegNetwork|TRRUST|ESCAPE
Klf6,RegNetwork|TRRUST
Klf7,TRRUST
Klf8,TRRUST
Klf9,TRRUST
Kntc1,RegNetwork
Kpna2,TRRUST
Krba1,RegNetwork
L3mbtl2,RegNetwork
Lass2,RegNetwork
Lass3,RegNetwork
Lass4,RegNetwork
Lass5,RegNetwork
Lbx1,RegNetwork|TRRUST
Ldb1,RegNetwork|TRRUST
Ldb2,RegNetwork|TRRUST
Lef1,RegNetwork|TRRUST
Lhx1,RegNetwork
Lhx2,RegNetwork|TRRUST
Lhx3,RegNetwork|TRRUST
Lhx4,RegNetwork
Lhx5,RegNetwork
Lhx9,RegNetwork|TRRUST
Lin28a,RegNetwork
Lmo1,RegNetwork
Lmo2,RegNetwork|TRRUST
Lmo3,RegNetwork
Lmo4,RegNetwork|TRRUST
Lmo7,TRRUST
Lmx1a,RegNetwork
Lmx1b,RegNetwork|TRRUST
Loc100047997,RegNetwork
Lyl1,RegNetwork|TRRUST
Lzts1,RegNetwork
Maf,RegNetwork|TRRUST
Mafa,RegNetwork|TRRUST
Mafb,RegNetwork|TRRUST
Maff,RegNetwork
Mafg,RegNetwork|TRRUST
Mafk,RegNetwork|TRRUST
Maml1,RegNetwork
Maml3,RegNetwork
Map3k7,TRRUST
Mapk1,RegNetwork|TRRUST
Mapk10,RegNetwork
Mapk11,RegNetwork
Mapk12,RegNetwork
Mapk13,RegNetwork
Mapk14,RegNetwork|TRRUST
Mapk3,RegNetwork
Mapk8,RegNetwork
Mapk9,RegNetwork
Matr3,RegNetwork
Max,RegNetwork|TRRUST|ESCAPE
Maz,RegNetwork|TRRUST
Mbd1,RegNetwork|TRRUST
Mbd2,RegNetwork|TRRUST
Mbd3,RegNetwork|TRRUST
Mcm2,RegNetwork
Mcm3,RegNetwork|TRRUST
Mcm4,RegNetwork
Mcm5,RegNetwork
Mcm6,RegNetwork|TRRUST
Mcm7,RegNetwork
Mdm2,TRRUST
Mdm4,RegNetwork|TRRUST
Mecom,RegNetwork
Mecp2,RegNetwork|TRRUST
Med1,RegNetwork|TRRUST
Med12,RegNetwork
Med13,RegNetwork
Med14,RegNetwork
Med15,RegNetwork
Med16,RegNetwork
Med17,RegNetwork
Med20,RegNetwork
Med21,RegNetwork
Med23,RegNetwork|TRRUST
Med26,RegNetwork
Med27,RegNetwork
Med30,RegNetwork
Med31,RegNetwork
Med4,RegNetwork
Med6,RegNetwork|TRRUST
Med8,RegNetwork|TRRUST
Mef2a,RegNetwork|TRRUST
Mef2c,RegNetwork|TRRUST|ESCAPE
Mef2d,RegNetwork|TRRUST
Meis1,RegNetwork|TRRUST
Meis2,RegNetwork|TRRUST
Meis3,RegNetwork
Men1,RegNetwork|TRRUST
Meox1,RegNetwork|TRRUST
Meox2,RegNetwork|TRRUST
Mis18bp1,RegNetwork
Mitf,RegNetwork|TRRUST
Mixl1,RegNetwork|TRRUST
Mki67ip,RegNetwork
Mkl1,RegNetwork|TRRUST
Mkl2,RegNetwork
Mkx,TRRUST
Mll1,RegNetwork
Mll2,RegNetwork
Mll3,RegNetwork
Mllt1,RegNetwork
Mllt10,RegNetwork
Mllt3,RegNetwork|TRRUST
Mlx,RegNetwork
Mlxip,RegNetwork
Mlxipl,RegNetwork|TRRUST
Mmp9,TRRUST
Mms19,RegNetwork
Mnt,RegNetwork|TRRUST
Mnx1,RegNetwork
Mphosph8,RegNetwork
Msc,RegNetwork|TRRUST|ESCAPE
Msx1,RegNetwork|TRRUST
Msx2,RegNetwork|TRRUST
Mta1,RegNetwork|TRRUST
Mta2,RegNetwork|TRRUST
Mta3,RegNetwork
Mtf1,RegNetwork|TRRUST
Mtf2,RegNetwork|TRRUST
Mxd1,RegNetwork|TRRUST
Mxd3,RegNetwork
Mxd4,RegNetwork
Mxi1,RegNetwork|TRRUST
Myb,RegNetwork|TRRUST
Mybbp1a,RegNetwork|TRRUST
Mybl1,RegNetwork|TRRUST
Mybl2,RegNetwork|TRRUST|ESCAPE
Myc,RegNetwork|TRRUST|ESCAPE
Mycl1,RegNetwork
Mycn,RegNetwork|TRRUST|ESCAPE
Myd88,RegNetwork
Myef2,RegNetwork|TRRUST
Myf5,RegNetwork|TRRUST
Myf6,RegNetwork|TRRUST
Mynn,RegNetwork
Myocd,RegNetwork|TRRUST
Myod1,RegNetwork|TRRUST|ESCAPE
Myog,RegNetwork|TRRUST
Myst2,RegNetwork
Myst3,RegNetwork
Myt1,RegNetwork
Myt1l,RegNetwork
Mzf1,RegNetwork|TRRUST
Naa15,RegNetwork
Nab1,TRRUST
Nab2,RegNetwork|TRRUST
Nacc1,ESCAPE
Nanog,RegNetwork|TRRUST|ESCAPE
Nap1l2,RegNetwork
Nap1l3,RegNetwork
Nap1l4,RegNetwork
Ncoa1,RegNetwork|TRRUST
Ncoa2,RegNetwork|TRRUST
Ncoa3,RegNetwork|TRRUST
Ncoa4,RegNetwork|TRRUST
Ncoa5,RegNetwork|TRRUST
Ncoa6,RegNetwork|TRRUST
